,Apt,Rooms,Surface,Picture_Url,Location,Date,Price
345,Appt standing de 3chambres avec sur mer à Mermoz,3 chambre,210 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/e2eb1491c2c4075e50b54aec8d23ce48/-/horizon-files-prod/ed/picture/qnq9emz/1a05452fe6f2c31fa7d369b9297844bfe68bdb64.jpg,"['Mermoz,', 'Dakar']","13. déc. '22, 11:47","['1', '500', '000 F Cfa']"
346,Mini studios à louer à Ouest Foire,1 chambre,50 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/0858813cad1b248d668b10adc2f7baac/-/horizon-files-prod/ed/picture/qpdprqn4/5796f32a3a8fc436da434b74713a6dd25f34a433.jpg,"['Ouest foire,', 'Dakar']","1. déc. '22, 12:31","['110', '000 F Cfa']"
347,Bureaux à louer,2 chambre,"1,540 m²",https://i.roamcdn.net/hz/ed/listing-thumb-112w/1894b2ce4f1ff59c19d5aa14aee23ae3/or%3D90/horizon-files-prod/ed/picture/qj4m9j74/277bb03cc68bb25a152b48c8c4110101d848081e.jpg,"['VDN,', 'Dakar']","jeudi, 15:38","['350', '000 F Cfa']"
348,Joli appartement F4 au point E,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/a477bbe1d369a2114cbbdc483978ce66/-/horizon-files-prod/ed/picture/qrz2m09j/84de6ef7d83129ea22587794a86b9d2e364c91d3.jpg,"['Point-e,', 'Dakar']","1. déc. '22, 11:02","['1', '300', '000 F Cfa']"
349,Résidence almadies route king watt,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/809238485ba64c3dbe528a7be7f2398a/-/horizon-files-prod/ed/picture/qv4mv9z5/827309494692c9b0051ae740f70f1c5ba8ed755d.jpg,"['Almadies,', 'Dakar']","30. nov. '22, 13:49","['1', '200', '000 F Cfa']"
350,Appartement neuf à la cité africa Ouakam,3 chambre,190 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/cb8950faf3389761e3163d76d5016cd9/-/horizon-files-prod/ed/picture/qv4mgj8k/61a371944776c25f0c66eca65a96e49c6abce489.jpg,"['Ouakam,', 'Dakar']","1. déc. '22, 10:54","['1', '300', '000 F Cfa']"
351,Studio en centre ville,1 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/93ddefea522d8f133577f45302093066/-/horizon-files-prod/ed/picture/q9m0xwqn/3c798706a40496a1da881f170948e9d8e6c984b1.jpg,"['Plateau,', 'Dakar']","1. déc. '22, 08:43","['175', '000 F Cfa']"
352,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
353,Penthouse de 450 m² à louer aux Almadies avec vue sur mer,3 chambre,450 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/c54f9dfa6f04bc3cede4c979cba6d8c1/-/horizon-files-prod/ed/picture/q56wqz47/7f356cd7be81268ac086b66b78eabadd636bab39.jpg,"['Almadies,', 'Dakar']","30. nov. '22, 16:57","['1', '700', '000 F Cfa']"
354,Appartement RDC 2chambres aux Almadies,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/b89c47e7f6089aa9a999019cc3da36b9/-/horizon-files-prod/ed/picture/qq4qx5d6/56d86b7960910165e91cd2c41cfd851809d97e3e.jpg,"['Ngor,', 'Dakar']","30. nov. '22, 16:48","['500', '000 F Cfa']"
