ProductName,ProductPrice,SKU,Categories,Image
Nadine Hot Pink Mini Dress,650.00,BB-14-054P,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/nadine-hot-pink-mini-dress-01-1.jpg
Sonny Metallic Rose Gown,750.00,BB-16-024,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/sonny-metallic-rose-gown-01.jpg
Capri Neon Pink Sequin Blazer,750.00,BB-15-042-D,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-neon-pink-sequin-blazer-01.jpg
Maraya Neon Pink Mini Dress,850.00,BB-16-028,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/maraya-neon-pink-mini-dress-01.jpg
Capri Neon Pink Sequin Shorts,450.00,BB-15-086,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-neon-pink-sequin-bralette-01.jpg
Maya Multicolor Bodycon,550.00,BB-16-042,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/maya-multicolor-bodycon-01.jpg
Capri Neon Pink Sequin Bralette,250.00,BB-15-043-D,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-neon-pink-sequin-bralette-01.jpg
Maya Multicolor Robe,650.00,BB-16-041,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/maya-multicolor-robe-01.jpg
Capri Linen Beige Blazer,575.00,BB-16-091,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-linen-beige-blazer-01.jpg
Capri Linen Beige Shorts,360.00,BB-16-093,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cateye-linen-beige-bralette-01.jpg
Cateye Linen Beige Bralette,220.00,BB-16-092,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cateye-linen-beige-bralette-01.jpg
Naomi Beige Set,750.00,BB-16-094,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/naomi-beige-set-01.jpg
Butterfly Light Gold Midi Dress,950.00,BB-16-095,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/butterfly-light-gold-midi-dress-01.jpg
Hanna Miami Gown,850.00,BB-16-018,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/hanna-miami-gown-01-1.jpg
Nadine Miami V Neck Mini Dress,650.00,BB-16-016,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/nadine-miami-v-neck-mini-dress-01.jpg
Maraya Nude Sequin Midi Corset,960.00,BB-15-001N,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/maraya-nude-sequin-midi-corset-01.jpg
Britney Denim Blazer,575.00,BB-16-047,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/britney-denim-blazer-01.jpg
Jafari Coral Gown,950.00,BB-16-033,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/jafari-coral-gown-01.jpg
Capri Denim Bralette,280.00,BB-16-048,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-denim-bralette-01.jpg
Capri Denim Short,360.00,BB-16-049,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-denim-bralette-01.jpg
Daphne Multicolor Tie Dye Maxi Dress,450.00,BB-16-072,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/daphne-multicolor-tie-dye-maxi-dress-01.jpg
Maraya Denim Diamond Mini Dress,850.00,BB-16-050,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/maraya-denim-diamond-mini-dress-01.jpg
Dalia Green One Shoulder Knit Dress,695.00,BB-16-078,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/dalia-green-one-shoulder-knit-dress-01.jpg
Cleo Lime Set,650.00,BB-16-073,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cleo-lime-set-01.jpg
Jamilia Gold Gown,"1,200.00",BB-16-085,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/jamilia-gold-gown-01.jpg
Izzy Yellow Halterneck Mini Dress,950.00,BB-16-081,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/izzy-yellow-halterneck-mini-dress-01.jpg
