,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
86,Shake Hands with the Devil,(2007),R,112 min,"Drama, History, War",7.6,57,"The story of General Romeo Dallaire's frustrated efforts to stop the madness of the Rwandan Genocide, despite the complete indifference of his superiors.",Jennifer Capraru,"['Jennifer Capraru', 'Roger Spottiswoode', 'Roy Dupuis', 'Owen Sejake', 'James Gallanders', 'Michel Ange Nzojibwami']","3,497",None
87,The Wooden Camera,(2003),None,92 min,Family,7,None,"A township near Cape Town. Two young teens, Madiba and Sipho, find a gun and a camera. Sipho takes the gun, and Madiba the camera, sealing their fate.",Ntshaveni Wa Luruli,"['Ntshaveni Wa Luruli', 'Junior Singo', 'Dana de Agrella', 'Innocent Msimango', 'Lisa Petersen']",528,None
88,Goodbye Bafana,(2007),R,118 min,"Biography, Drama, History",7.1,None,Goodbye Bafana is the true story of a white South African racist whose life was profoundly altered by the black prisoner he guarded for twenty years. The prisoner's name was Nelson Mandela.,Bille August,"['Bille August', 'Joseph Fiennes', 'Dennis Haysbert', 'Diane Kruger', 'Patrick Lyster']","12,028",None
89,Black Hawk Down,(2001),R,144 min,"Action, Drama, History",7.7,74,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis.",Ridley Scott,"['Ridley Scott', 'Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']","399,215",$108.64M
90,Le secret de Chanda,(2010),PG-13,100 min,Drama,7.1,65,A touching mother-daughter relationship that reflects the modern South Africa.,Oliver Schmitz,"['Oliver Schmitz', 'Khomotso Manyaka', 'Keaobaka Makanyane', 'Harriet Lenabe', 'Lerato Mvelase']","1,393",$0.13M
91,Daratt,(2006),None,96 min,Drama,6.9,78,"Chad, 2006. After a forty-year civil war, the radio announces the government has just amnestied the war criminals. Outraged by the news, Gumar Abatcha orders his grandson Atim, a ...See full summary»",Mahamat-Saleh Haroun,"['Mahamat-Saleh Haroun', 'Ali Barkai', 'Youssouf Djaoro', 'Aziza Hisseine', 'Khayar Oumar Defallah']",918,None
92,Things of the Aimless Wanderer,(2015),None,78 min,Drama,6.7,None,"Late nineteenth century, a white explorer is lost in the jungle. He sets off, trying to locate himself. In the thick rain forest, he encounters a young woman... Early twenty-first century, ...See full summary»",Kivu Ruhorahoza,"['Kivu Ruhorahoza', 'Ramadhan Bizimana', 'Justin Mullikin', 'Grace Nikuze', 'Matt Ray Brown']",33,None
93,Guelwaar,(1992),None,115 min,Drama,7.4,None,"Burial of a Christian political activist in a Muslim cemetary forces a conflict imbued with religious fervor. A satiric portrayal of religion and politics, sometimes humorous, sometimes deadly serious.",Ousmane Sembene,"['Ousmane Sembene', 'Abou Camara', 'Marie Augustine Diatta', 'Mame Ndoumbé Diop', 'Moustapha Diop']",362,$0.06M
94,Amistad,(1997),R,155 min,"Biography, Drama, History",7.3,63,"In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",Steven Spielberg,"['Steven Spielberg', 'Djimon Hounsou', 'Matthew McConaughey', 'Anthony Hopkins', 'Morgan Freeman']","78,313",$44.18M
95,Amandla! A Revolution in Four Part Harmony,(2002),PG-13,108 min,"Documentary, History, Music",7.4,78,"Interviews, archival footage, and filmed performances highlight the role of music in the South African struggle against apartheid.",Lee Hirsch,"['Lee Hirsch', 'Abdullah Ibrahim', 'Duma Ka Ndlovu', 'Vusi Mahlasela', 'Walter Cronkite']",610,$0.40M
96,Badou Boy,(1970),None,56 min,Comedy,6.7,None,Sarcastic look at Senegal's capital following the adventures of a somewhat immoral street urchin.,Djibril Diop Mambéty,"['Djibril Diop Mambéty', 'Laminé Ba', 'Al Demba Ciss', 'Christoph Colomb', 'Aziz Diop Mambéty']",180,None
97,Nirgendwo in Afrika,(2001),R,141 min,"Biography, Drama, History",7.5,72,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,Caroline Link,"['Caroline Link', 'Juliane Köhler', 'Merab Ninidze', 'Matthias Habich', 'Sidede Onyulo']","13,454",$6.17M
98,Heremakono,(2002),None,90 min,"Drama, Music",6.7,None,The story of two people who cross paths in Nouhadhibou.,Abderrahmane Sissako,"['Abderrahmane Sissako', 'Khatra Ould Abder Kader', 'Maata Ould Mohamed Abeid', 'Mohamed Mahmoud Ould Mohamed', 'Fatimetou Mint Ahmeda']","1,040",$0.00M
99,Keita! L'héritage du griot,(1995),None,94 min,"Drama, Fantasy",6.4,None,A storyteller named Djeliba comes to the town of a young boy named Mabo with promises that he will reveal the origin of the boy's ancestry.,Dani Kouyaté,"['Dani Kouyaté', 'Seydou Boro', 'Hamed Dicko', 'Abdoulaye Komboudri', 'Sotigui Kouyaté']",167,None
