,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
195,Kinyarwanda,(2011),None,100 min,"Drama, History, Romance",6.8,69,A young Tutsi woman and a young Hutu man fall in love amidst chaos; a soldier struggles to foster a greater good while absent from her family; and a priest grapples with his faith in the face of unspeakable horror.,Alrick Brown,"['Alrick Brown', 'Cleophas Kabasita', 'Hadidja Zaninka', 'Marc Gwamaka', 'Cassandra Freeman']",482,None
196,Restless City,(2011),R,80 min,"Drama, Music",5.9,59,"Tells the story of an African immigrant surviving on the fringes of New York City where music is his passion, life is a hustle and falling in love is his greatest risk.",Andrew Dosunmu,"['Andrew Dosunmu', 'Hervé Diese', 'Momo Dione', 'Lenore Thomas Douglas', 'Ger Duany']",269,None
197,"Sia, le rêve du python",(2001),None,96 min,Drama,6.7,67,"Every year the most beautiful girl will be sacrificed to the Python God. When a girl named Sia is the next to be sacrificed, she hides in the house of the village idiot, a man who goes ...See full summary»",Dani Kouyaté,"['Dani Kouyaté', 'Fatoumata Diawara', 'Sotigui Kouyaté', 'Habib Dembélé', 'Hamadoun Kassogué']",151,$0.00M
198,L'éxilé,(1980),None,90 min,Drama,7.4,None,Based on a traditional African tale. A king has the habit whilst walking in disguise on the streets of his kingdom to listen to the wishes of his own people. One day he overhears two ...See full summary»,Oumarou Ganda,"['Oumarou Ganda', 'Oumarou Ganda', 'Zalika Souley', 'Damouré Zika']",18,None
199,Toubab Bi,(1991),None,96 min,None,6.9,None,"Soriba is from a village near Dakar. One day, he left to study cinema in Paris. He hopes to find Issa, his childhood friend, whom he has not heard from for seven years.",Moussa Touré,"['Moussa Touré', 'Makena Diop', 'Hélène Lapiower', 'Khalil Gueye', 'Cheikh Toure']",18,None
200,Coup de torchon,(1981),None,128 min,"Comedy, Crime, Drama",7.4,None,"A pathetic police chief, humiliated by everyone around him, suddenly wants a clean slate in life - and resorts to drastic means to do so.",Bertrand Tavernier,"['Bertrand Tavernier', 'Philippe Noiret', 'Isabelle Huppert', 'Stéphane Audran', 'Jean-Pierre Marielle']","6,184",None
201,The Lost Number,(2012),None,90 min,Action,6.7,None,"An international action drama, The lost Number is the story of a redemption-seeking English woman going against all odds to save a remote slum in Africa.",Kester Nsirim,"['Kester Nsirim', 'Sam Dede', 'Lisa Holsappel-Marrs', 'Sadiq Abu', 'Princess Edet']",27,None
202,How to Steal 2 Million,(2011),None,82 min,"Action, Drama",5.4,None,It's a jungle out there. That's how we meet our lead character Jack. It's been five years since he's seen his partner and best friend Twala. Jack did five years for a robbery gone bad. ...See full summary»,Charlie Vundla,"['Charlie Vundla', 'Menzi Ngubane', 'Terry Pheto', 'Rapulana Seiphemo', 'John Kani']",94,None
203,Karmen Geï,(2001),None,86 min,"Musical, Romance, Drama",6.2,67,"Like every Carmen, Karmen Geï is about the conflict between infinite desire for freedom and the laws, conventions, languages, the human limitations which constrain that desire.",Joseph Gaï Ramaka,"['Joseph Gaï Ramaka', 'Djeïnaba Diop Gaï', 'Magaye Niang', 'Stephanie Biddle', 'Thierno Ndiaye Doss']",249,None
204,Nha Fala,(2002),None,110 min,"Comedy, Drama, Musical",6.3,None,"It has always been a firm conviction of the family that any woman who sings, will die. Now, while a girl is in France she becomes an international star. She realises that sooner rather than...See full summary»",Flora Gomes,"['Flora Gomes', ""Fatou N'Diaye"", 'Jean-Christophe Dollé', 'Ângelo Torres', 'Bia Gomes']",206,None
