Author,BookTitle,Date,PriceAPaperback,PriceBkindle,Ratings,SummaryAuthor,XcoverPicture
, Monkey King: Journey to the West , ,," 9.99 , 27.18 , 18.00 ",423 ,,
,  Naruto: Naruto's Story―Uzumaki Naruto and the Spiral Destiny (Naruto Novels) ,"   March 28, 2023 ", 10.99 ,,,"Masashi Kishimoto, ,Author/artist Masashi Kishimoto was born in 1974 in rural Okayama Prefecture, Japan. After spending time in art college, he won the Hop Step Award for new manga artists with his manga ,Karakuri, (Mechanism). Kishimoto decided to base his next story on traditional Japanese culture. His first version of ,Naruto,, drawn in 1997, was a one-shot story about fox spirits; his final version, which debuted in ,Weekly Shonen Jump, in 1999, quickly became the most popular ninja manga in Japan.,Jun Esaka, ,Born February 13 in Kanagawa Prefecture. Blood type O. After graduating from Waseda University, he began working as a writer.",
,  Frankenstein in Modern English (Illustrated): For Modern Readers ,"   September 28, 2018 ", 8.99 ,,12 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Arkady Strugatsky,  Roadside Picnic (16) (Rediscovered Classics) ,"   May 1, 2012 ", 14.99 , 9.99 ,"2,101 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Stephanie Harvey,"  Strategies That Work, 3rd edition: Teaching Comprehension for Engagement, Understanding, and Building Knowledge, Grades K-8 | Classroom Learning Book | Strategies for Reading Comprehension ",  third edition , 47.99 , 24.99 ,414 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Christian Heath,  SAT & ACT Grammar Mastery: ACT English & SAT Writing Rules ,, 5.95 - 29.99 , 9.99 ,44 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Cris Tovani,  Why Do I Have to Read This?: Literacy Strategies to Engage Our Most Reluctant Students ,  paperback Edition , 39.33 , 26.49 ,51 ,"Cris loves studying the “knowing-doing” gap by investigating how to implement best practice research with 125+ students. Throughout her career, she has tried to take reading and writing research and apply it to all kinds of learning situations. She believes it is important to share with colleagues her successes as well as her failures to highlight how incredibly complex teaching is. ,  , For the past 34 years, Cris has taught grades one through twelve. In addition to being a classroom teacher, she’s had the privileged of working with preservice and secondary teachers. She served several years as an adjust professor at the University of Colorado at Denver and the Denver University. ,  , Cris provides workshops on disciplinary literacy as well as assessment for learning. Her focus is modeling how to integrate literacy strategies into lessons so students can be better readers and writers of disciplinary text. Her favorite days are the ones when she gets to plan with teachers and then work in classrooms with students. Cris strives to “walk the talk” as she models for teachers how to plan for engagement and execute instruction so that students get to read, write, and discuss for more minutes of the class period than their teacher talks. ,  , Cris’s new book is titled, ,Why Do I Have to Read This?  Literacy Strategies to Engage Our Most Reluctant Students,. Other books she has written are:, I Read it but I Don’t Get It,, ,Do I Really Have,to Teach Reading,? ,So, What do They Really Know?, And ,No More Telling as Teaching: Less Lecture, More Engaged Learning,.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
John Loehr,  Nothing but Vocab: Spanish Edition ,, 26.99 ," 9.99 , 30.99 ",17 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Omi of the Stars (Trilogy Omistars) ,"   Large Print, December 31, 2019 ", 15.00 , 6.99 ,80 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Bora Chung,  Cursed Bunny: Stories ,"   December 6, 2022 ", 13.99 ," 14.99 , 31.57 ",459 ,"“If you were the kind of child who was enthralled by ,Scary Stories to Read in the Dark,, Bora Chung writes for you. Like the work of Carmen Maria Machado and Aoko Matsuda, Chung’s stories are so wonderfully, blisteringly strange and powerful that it's almost impossible to put ,Cursed Bunny, down. In short, this collection may, in fact, be a cursed object in the best possible way.” ―,Kelly Link, bestselling author of Get In Trouble,""Bora Chung's ,Cursed Bunny ,mines those places where what we fear is true and what is true meet and separate and re-meet. The resulting stories are indelible. Haunting, funny, gross, terrifying—and yet when we reach the end, we just want more.""―,Alexander Chee, author of How to Write an Autobiographical Novel,""Anton Hur’s nimble translation manages to capture the tricky magic of Chung’s voice — its wry humor and overarching coolness broken by sudden, thrilling dips into passages of vivid description. Even as Chung presents a catalog of grotesqueries that range from unsettling to seared-into-the-brain disturbing, her power is in restraint. She and Hur always keep the reader at a slight distance in order for the more chilling twists to land with maximum impact, allowing us to walk ourselves into the trap.”,  ―,Violet Kupersmith, The New York Times Book Review,“Sharp, wildly inventive, and slightly demented (in the most enjoyable way, of course)… All we can say is buckle in, because when these stories take their horrific turn there’s no setting them down.”―,Chicago Review of Books,“Whether borrowing from fable, folktale, speculative fiction, science fiction, or horror, Chung’s stories corkscrew toward devastating conclusions—bleak, yes, but also wise and honest about the nightmares of contemporary life. Don't read this book while eating—but don’t skip these unflinching, intelligent stories, either.”―,Kirkus Reviews (starred review),“Nothing concentrates the mind like Chung’s terrors, which will shrivel you to a bouillon cube of your most primal instincts.”―,Rhoda Feng, Vulture,""[Chung's] glorious anglophone debut, enabled by award-winning Anton Hur, is poised to shock and delight. Bizarrely enigmatic, Chung’s collection proves irresistible.""―,Terry Hong, Booklist (starred review),“This short story collection is like a car crash you can't look away from: grotesque in the best way…Each story is fantastically unique, and unlike anything I've ever read before.”―,Kirby Beaton, Buzzfeed’s Best December Books of 2022,“Bora Chung Soars with a provocative collection of stories. ...remarkable... The 10 stories are beyond imagination: breathtaking, wild, crazy, the most original fiction I have ever encountered. …each more astounding than the last.”―,Louisa Ermelino, Publishers Weekly,“Like a family in a home, fantastic stories gather together in this book. The stories not only take their revenge, but also love you, and comfort you. You'll end up completely endeared to this fascinating collection!”―,Kyung-sook Shin, New York Times Bestselling author of Please Look After Mom and Violets,""Cool, brilliantly demented K-horror—just the way I like it!"" ―,Ed Park, author of Personal Days,“This Korean debut collection is a stunner. The stories included are absurdly unique, delightfully monstrous, horrifically insightful and chillingly satisfying.”,―,―Ms. Magazine,“A collection of exquisitely crafted, spooky and unnerving tales that haunted me long after reading. Each story is a macabre gem, shot through with visceral horror, wry humor, and subtly profound insights on human nature. These stories convey how the traumas and transgressions of the past, individual and collective, and erupt into the present, distorting and eroding our perception of reality. Bora Chung is an amazingly inventive and daring writer. I will revisit these stories whenever I need a reminder of how fresh and vital prose can be.”―,Kate Folk, author of Out There,""What made this book truly transcendental was the sense of absolute dread that many of its stories summoned. Chung’s work fits neatly beside that of Brian Evenson and Kelly Link—cerebral fiction that might give you nightmares.""―,Tobias Carroll, Words Without Borders,“If you want a spooky set of stories that will crawl under your skin and burrow into your marrow and stay there forever, Chung’s collection is a freaky, unforgettable outing. There’s a folkloric quality to this collection, like these are urban legends that have finally been put to paper.”―,Wired Magazine,“Disturbing, chilling, wrenching, and absolute genius. I wanted Chung to write a story about a reader getting a deep look inside her fantastic swirling mind. I had to take breaks and gulps of air before plunging back into each story. Magnetic, eerie, immensely important.” ―,Frances Cha, author of If I Had Your Face,“Fables of frightening moral clarity told in calm, bell-like prose, ,Cursed Bunny, aims to unsettle. It's as assured and brilliant as a nightmare. With an unflinching gaze and a sly humor, Chung has built a world both unfamiliar and eerily familiar, whose truths echo into our own. The indelible work of a master.”―,Shruti Swamy, author of The Archer and A House is a Body,“[A] get-under-your-skin collection”―,LitHub,“The strange and everyday are melded in these startling and original tales… ,Cursed Bunny, is [Chung’s] first book to be translated into English, and hopefully not the last.”―,Connie Biewald, San Francisco Chronicle,“While the stories in ,Cursed Bunny, by Bora Chung blend elements of horror, fantasy and the surreal, each is viscerally rooted in the real fears and pressures of everyday life.”―,International Booker Prize judges,“Chung debuts with a well-crafted and horrifying collection of dark fairy tales, stark revenge fables, and disturbing body horror. Clever plot twists and sparkling prose abound. Chung’s work is captivating and terrifying.”―,―Publishers Weekly,“Chung’s genre-defying collection breathes life into literary horror as the stories incorporate common fears and societal flaws with elements of the fantastic in the most chilling ways. The tales in Cursed Bunny will draw readers in with familiar themes and genre tropes and leave them pleasantly surprised, if not disturbed by the monsters within.”―,The West Trade Review,“A unique and chilling collection”―,We Are Bookish,“Bora Chung's stories succeed at being deeply visceral experiences that do what the best fairy tales do: convey the unspeakable in a way that is nevertheless collectively understood…perfect for fans of Bong Joon-ho's films or Helen Oyeyemi's fiction.”,―,Alice Martin, Shelf Awareness,“Addictively bizarre … bone-chilling”―,BookReporter,Bora Chung, has written three novels and three collections of short stories. She has an MA in Russian and East European area studies from Yale University and a PhD in Slavic literature from Indiana University. She has taught Russian language and literature and science fiction studies at Yonsei University and translates modern literary works from Russian and Polish into Korean.,Anton Hur, was born in Stockholm, Sweden. He won a PEN Translates award for Kang Kyeong-ae's ,The Underground Village, and his translation of Sang Young Park’s ,Love in the Big City, was longlisted for the Booker International Prize in 2022. He lives in Seoul.,  ",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
